,dtype,non_null,missing,missing_pct,unique
primary_category,object,66328,1201,1.7784951650402048,71
product_photos_mean,float64,66332,1197,1.7725717839742927,58
customer_seller_distance_km,float64,67185,344,0.5094107716684684,63763
customer_lat,float64,67348,181,0.26803299323253715,13627
customer_lng,float64,67348,181,0.26803299323253715,13626
seller_lat_mean,float64,67365,164,0.24285862370240935,2344
seller_lng_mean,float64,67365,164,0.24285862370240935,2334
product_weight_mean,float64,67513,16,0.02369352426364969,2272
product_length_mean,float64,67513,16,0.02369352426364969,268
product_height_mean,float64,67513,16,0.02369352426364969,263
product_width_mean,float64,67513,16,0.02369352426364969,248
order_approved_at,datetime64[ns],67515,14,0.02073183373069348,63147
order_delivered_carrier_date,datetime64[ns],67528,1,0.0014808452664781056,63238
payment_value_total,float64,67528,1,0.0014808452664781056,21193
payment_installments_max,float64,67528,1,0.0014808452664781056,22
payment_count,float64,67528,1,0.0014808452664781056,19
dominant_payment_type,object,67528,1,0.0014808452664781056,4
payment_type_count,float64,67528,1,0.0014808452664781056,2
order_id,object,67529,0,0.0,67529
customer_id,object,67529,0,0.0,67529
order_purchase_timestamp,datetime64[ns],67529,0,0.0,67151
order_delivered_customer_date,datetime64[ns],67529,0,0.0,66954
customer_unique_id,object,67529,0,0.0,65397
delivery_delay_days,float64,67529,0,0.0,65310
customer_zip_code_prefix,int64,67529,0,0.0,13748
freight_total,float64,67529,0,0.0,6389
freight_mean,float64,67529,0,0.0,5943
price_total,float64,67529,0,0.0,5942
price_mean,float64,67529,0,0.0,5350
customer_city,object,67529,0,0.0,3747
order_estimated_delivery_date,datetime64[ns],67529,0,0.0,356
customer_state,object,67529,0,0.0,27
primary_seller_state,object,67529,0,0.0,22
item_count,float64,67529,0,0.0,17
product_count,float64,67529,0,0.0,7
seller_count,float64,67529,0,0.0,5
seller_state_nunique,float64,67529,0,0.0,3
is_late,int8,67529,0,0.0,2
order_status,object,67529,0,0.0,1
