,correlation
customer_seller_distance_km,0.08651701979411786
customer_lng,0.08265066264883798
freight_mean,0.06931068227850952
customer_lat,0.061399804546560424
freight_total,0.046596995038224225
price_mean,0.027407048471128313
seller_count,-0.02587083028344787
product_weight_mean,0.02567044890288173
payment_value_total,0.024776325454530557
seller_lat_mean,0.023924193954297103
product_count,-0.02158948976592181
price_total,0.02133632124635724
product_length_mean,0.020133973669558464
seller_state_nunique,-0.018282177845596156
payment_installments_max,0.01718278272792932
item_count,-0.01613030530759294
product_height_mean,0.01468465714189269
product_width_mean,0.009601383726963212
product_photos_mean,-0.007380889048648802
payment_type_count,-0.00722302764053385
payment_count,-0.00588999684490584
seller_lng_mean,-0.0047493738431747985
