,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew
customer_lat,67348.0,-21.132372437809195,5.709291053281031,-33.690971840060584,-30.090744042183644,-28.71452758648514,-23.58801506956185,-22.915532944486156,-19.996322324134084,-7.251747094930942,-2.499473226500051,41.14620290949943,1.6007413564277437
customer_lng,67348.0,-46.177340755096026,4.120320370134168,-72.67098698091266,-56.10450379644305,-52.406503307382735,-48.27171488412486,-46.627313695568105,-43.53345366964976,-38.49591878076662,-34.933590008976665,-8.57785501800488,-0.013469224073502588
item_count,67529.0,1.1420722948659094,0.5416400873001912,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,21.0,8.107161536159737
product_count,67529.0,1.0377023204845326,0.22219869215882382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.6773118834583585
seller_count,67529.0,1.0120540804691318,0.11481507633924459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,10.524938454780273
price_total,67529.0,135.88879710939005,205.19401871533472,2.29,11.99,19.0,45.9,85.0,149.9,399.0,987.0,13440.0,10.718894875470696
price_mean,67529.0,124.2390697872051,185.6596613342677,1.5142857142857142,10.99,18.5,41.0,78.97,139.9,359.0,899.0,6735.0,7.802465037918914
freight_total,67529.0,22.24593626441973,20.002594461585975,0.0,7.78,8.37,14.1,16.79,23.7,51.84599999999999,98.17160000000004,1002.2900000000001,8.581743232812304
freight_mean,67529.0,19.640187011493346,14.382949122568993,0.0,7.78,8.27,13.44,16.11,20.29,42.61919999999999,78.42,338.3,5.549941775544287
product_weight_mean,67513.0,2171.789991961144,3866.698262851113,2.0,100.0,133.0,300.0,700.0,1850.0,9850.0,19100.0,40425.0,3.57921599157785
product_length_mean,67513.0,30.60979195412934,16.363566292952573,7.0,16.0,16.0,18.0,25.0,39.0,63.0,95.0,105.0,1.722022763396096
product_height_mean,67513.0,16.7072617087118,13.602059019684845,2.0,2.0,3.0,8.0,13.0,20.0,45.0,65.0,105.0,2.2135890288731233
product_width_mean,67513.0,23.331553674479114,12.000290663222941,6.0,11.0,11.0,15.0,20.0,30.0,45.0,64.88000000000466,118.0,1.726563690279829
product_photos_mean,66332.0,2.24527922051817,1.743277275368324,1.0,1.0,1.0,1.0,2.0,3.0,6.0,8.0,20.0,1.9381943899601273
seller_lat_mean,67365.0,-22.843976423409725,2.4822874768379313,-32.07465689394012,-29.91562943112119,-26.287225554532892,-23.61325890813089,-23.416531424142654,-21.757690120914923,-19.867906407416527,-12.89472449617752,-2.498944490930389,2.092712271891241
seller_lng_mean,67365.0,-47.273597712210055,2.3335209366104426,-63.89314474007578,-53.46130455981301,-51.408197397354385,-48.82976816265947,-46.75549168747648,-46.52214825721335,-43.303678777468456,-38.65471774999996,-34.85512308090483,0.46430657822530874
seller_state_nunique,67529.0,1.0046794710420708,0.06932336752427039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,15.177526714549707
payment_count,67528.0,1.0476246890178889,0.3972233025988548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,26.0,22.41950886415092
payment_value_total,67528.0,158.17363745409313,214.28575696751398,10.07,22.95,32.38,61.63,104.19,175.5,439.39449999999925,1039.8567999999993,13664.08,10.149318248317098
payment_installments_max,67528.0,2.9745587015756425,2.7551684390658893,1.0,1.0,1.0,1.0,2.0,4.0,10.0,10.0,24.0,1.59266516963991
payment_type_count,67528.0,1.0240196659163605,0.1531112952278936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.217626610318584
customer_seller_distance_km,67185.0,614.3645425537316,595.6616301604762,0.0,6.034568079503893,17.85446229938219,218.0258224530035,448.1300931580166,810.6120933835227,2103.515582054885,2492.1002812538836,8032.940812534036,1.6836064840721676
